PK,event_timestamp,INDE,IDADE,IAA,IEG,IPS,IPP,IDA,IPV,DEFASAGEM
RA-11692024,2026-03-06 11:33:59.499006+00:00,6.885305556,15,6.3,8.4,5.6,7.8,6.8,6.8,1.0
RA-15932024,2026-03-06 11:33:59.499006+00:00,6.638525017,15,6.2,4.9,6.3,9.1,6.5,8.5,1.0
RA-15942024,2026-03-06 11:33:59.499006+00:00,5.731267288,16,9.6,6.1,6.3,6.3,3.0,6.0,1.0
RA-2832024,2026-03-06 11:33:59.499006+00:00,7.944430952,16,8.8,9.8,6.9,7.8,8.0,7.7,1.0
RA-4592024,2026-03-06 11:33:59.499006+00:00,7.233804589,14,7.9,8.5,5.6,7.8,4.7,7.4,0.0
RA-4542024,2026-03-06 11:33:59.499006+00:00,5.852294347,17,9.6,6.6,6.3,5.4,3.7,5.8,1.0
RA-15952024,2026-03-06 11:33:59.499006+00:00,6.659930423,14,8.3,7.9,6.3,7.4,2.3,7.0,0.0
RA-15962024,2026-03-06 11:33:59.499006+00:00,7.261016667,17,8.8,10.0,7.5,8.2,3.3,8.2,1.0
RA-1702024,2026-03-06 11:33:59.499006+00:00,7.646383333,16,9.2,8.5,5.6,7.6,8.0,8.0,1.0
RA-15972024,2026-03-06 11:33:59.499006+00:00,6.718706349,16,7.5,8.4,7.5,8.1,2.8,8.3,1.0
RA-11712024,2026-03-06 11:33:59.499006+00:00,7.623681746,15,8.3,7.2,7.5,8.6,7.5,8.6,1.0
RA-1162024,2026-03-06 11:33:59.499006+00:00,6.337470707,18,8.3,7.5,5.6,6.9,4.5,6.7,1.0
RA-2172024,2026-03-06 11:33:59.499006+00:00,7.42091645,17,8.3,8.9,6.3,7.1,7.8,7.0,1.0
RA-1032024,2026-03-06 11:33:59.499006+00:00,8.775268254,15,8.3,9.6,6.3,7.9,9.2,8.9,0.0
RA-1782024,2026-03-06 11:33:59.499006+00:00,7.234168831,16,9.6,8.7,6.3,7.6,4.2,6.5,0.0
RA-11722024,2026-03-06 11:33:59.499006+00:00,5.719565079,17,7.5,6.1,6.3,7.3,3.3,6.2,1.0
RA-1812024,2026-03-06 11:33:59.499006+00:00,7.439841414,15,7.5,8.7,6.3,7.6,4.3,8.4,0.0
RA-1212024,2026-03-06 11:33:59.499006+00:00,7.476158297,17,8.8,8.2,6.3,7.3,8.8,6.8,1.0
RA-2112024,2026-03-06 11:33:59.499006+00:00,8.283601876,15,9.6,9.4,7.5,7.3,7.0,7.9,0.0
RA-11982024,2026-03-06 11:33:59.499006+00:00,6.921774892,17,8.8,9.5,7.5,7.4,3.5,7.3,1.0
RA-1102024,2026-03-06 11:33:59.499006+00:00,8.632493939,16,9.2,9.7,6.3,7.5,8.5,8.5,0.0
RA-1892024,2026-03-06 11:33:59.499006+00:00,8.586533333,15,10.0,10.0,6.3,6.9,8.2,8.2,0.0
RA-1272024,2026-03-06 11:33:59.499006+00:00,8.560593939,16,8.8,9.5,7.5,7.6,7.8,8.5,0.0
RA-1152024,2026-03-06 11:33:59.499006+00:00,5.404184696,17,7.9,4.2,6.3,6.8,4.2,5.7,1.0
RA-2152024,2026-03-06 11:33:59.499006+00:00,7.045258874,15,7.1,6.5,6.3,8.0,5.7,7.4,0.0
RA-15982024,2026-03-06 11:33:59.499006+00:00,8.465628571,15,9.6,8.9,7.5,8.4,7.5,8.2,0.0
RA-11742024,2026-03-06 11:33:59.499006+00:00,7.37421342,16,8.8,8.3,6.3,7.5,5.0,7.3,0.0
RA-1922024,2026-03-06 11:33:59.499006+00:00,6.882960606,17,8.3,6.4,7.5,7.1,7.2,6.9,1.0
RA-2202024,2026-03-06 11:33:59.499006+00:00,7.698777056,15,8.8,8.2,6.3,7.3,6.8,7.3,0.0
RA-11812024,2026-03-06 11:33:59.499006+00:00,6.201581674,15,9.2,5.0,6.3,7.1,3.8,5.9,0.0
RA-15992024,2026-03-06 11:33:59.499006+00:00,7.605933333,17,8.3,9.7,7.5,7.8,6.5,7.6,1.0
RA-1112024,2026-03-06 11:33:59.499006+00:00,8.667693939,15,9.2,9.5,6.3,8.1,8.3,8.7,0.0
RA-16002024,2026-03-06 11:33:59.499006+00:00,6.750618519,17,8.8,8.4,6.3,7.3,5.7,6.0,1.0
RA-16012024,2026-03-06 11:33:59.499006+00:00,7.2431,17,8.8,7.0,7.5,7.5,6.5,8.3,1.0
RA-16022024,2026-03-06 11:33:59.499006+00:00,8.041889815,15,7.9,8.8,7.5,7.3,7.2,7.9,0.0
RA-16032024,2026-03-06 11:33:59.499006+00:00,7.836518518,16,7.5,9.3,7.5,7.5,8.3,7.8,1.0
RA-16042024,2026-03-06 11:33:59.499006+00:00,8.011855556,16,9.2,7.8,7.5,8.1,8.5,8.9,1.0
RA-1972024,2026-03-06 11:33:59.499006+00:00,8.568238636,14,7.5,9.8,6.3,8.0,8.3,8.8,0.0
RA-2022024,2026-03-06 11:33:59.499006+00:00,7.351215476,16,8.3,7.9,6.3,7.7,7.5,7.8,1.0
RA-11772024,2026-03-06 11:33:59.499006+00:00,8.323303947,15,8.8,9.8,6.3,7.7,7.3,8.1,0.0
RA-1462024,2026-03-06 11:33:59.499006+00:00,8.134554885,17,8.8,9.5,5.6,7.7,9.3,8.3,1.0
RA-11992024,2026-03-06 11:33:59.499006+00:00,7.614235714,18,7.5,8.6,5.0,6.6,9.0,8.5,1.0
RA-11782024,2026-03-06 11:33:59.499006+00:00,8.093474603,17,8.8,9.7,6.3,7.5,8.3,8.7,1.0
RA-1492024,2026-03-06 11:33:59.499006+00:00,5.731617385,17,9.6,4.1,6.3,7.3,3.8,6.6,1.0
RA-16052024,2026-03-06 11:33:59.499006+00:00,4.920488889,16,0.0,5.1,7.5,7.5,2.5,7.0,1.0
RA-1072024,2026-03-06 11:33:59.499006+00:00,6.676130827,16,7.5,8.0,7.5,7.5,4.7,7.0,1.0
RA-16062024,2026-03-06 11:33:59.499006+00:00,5.82167963,17,8.3,5.1,7.5,7.8,2.5,7.1,1.0
RA-16072024,2026-03-06 11:33:59.499006+00:00,4.899894444,16,5.8,6.2,5.6,6.6,0.0,6.8,1.0
RA-16082024,2026-03-06 11:33:59.499006+00:00,7.072539815,15,8.8,7.2,7.5,6.4,5.0,6.8,0.0
RA-11732024,2026-03-06 11:33:59.499006+00:00,8.220132916,15,9.2,9.7,7.5,8.1,5.8,8.2,0.0
RA-2372024,2026-03-06 11:33:59.499006+00:00,7.931384271,16,8.8,9.7,6.3,7.9,7.7,8.3,1.0
RA-1472024,2026-03-06 11:33:59.499006+00:00,7.400477922,16,8.3,9.3,7.5,7.5,6.2,7.4,1.0
RA-1312024,2026-03-06 11:33:59.499006+00:00,7.263155556,17,8.8,9.4,7.5,7.7,5.0,7.4,1.0
RA-16092024,2026-03-06 11:33:59.499006+00:00,7.577233333,17,8.3,9.7,7.5,7.7,6.0,7.9,1.0
RA-1372024,2026-03-06 11:33:59.499006+00:00,6.576761183,18,9.6,7.6,5.0,4.8,6.8,6.3,1.0
RA-11842024,2026-03-06 11:33:59.499006+00:00,7.411701732,17,6.7,8.7,7.5,7.3,7.7,7.5,1.0
RA-1382024,2026-03-06 11:33:59.499006+00:00,7.386027417,17,9.6,8.8,7.5,7.7,5.8,7.4,1.0
RA-16102024,2026-03-06 11:33:59.499006+00:00,6.702372928,17,9.2,7.8,7.5,7.3,5.2,6.1,1.0
RA-16112024,2026-03-06 11:33:59.499006+00:00,6.458918622,17,7.1,8.4,7.5,7.5,4.5,5.9,1.0
RA-16122024,2026-03-06 11:33:59.499006+00:00,7.014528571,18,6.7,8.5,7.5,7.7,6.2,6.9,1.0
RA-11882024,2026-03-06 11:33:59.499006+00:00,7.801633333,16,9.2,10.0,7.5,8.1,7.0,7.1,1.0
RA-16132024,2026-03-06 11:33:59.499006+00:00,6.085471429,17,8.3,7.1,7.5,7.3,3.0,6.2,1.0
RA-2672024,2026-03-06 11:33:59.499006+00:00,5.896306782,17,10.0,8.3,6.3,4.6,2.0,6.3,1.0
RA-11892024,2026-03-06 11:33:59.499006+00:00,7.648638716,16,9.6,8.7,7.5,7.5,7.7,7.1,1.0
RA-1132024,2026-03-06 11:33:59.499006+00:00,7.043536903,16,8.8,7.1,7.5,7.5,6.7,7.1,1.0
RA-1522024,2026-03-06 11:33:59.499006+00:00,6.58379386,17,7.5,7.3,5.6,7.8,5.2,7.4,1.0
RA-3182024,2026-03-06 11:33:59.499006+00:00,7.025000926,16,7.9,9.1,7.5,7.3,4.7,7.4,1.0
